time	V(n002)	V(n013)
1.603008217911766e-03	1.642728e+00	-6.011278e-02
1.616261566126052e-03	1.841248e+00	-6.644211e-02
1.629514914340337e-03	2.026399e+00	-7.229387e-02
1.642768262554623e-03	2.198181e+00	-7.766806e-02
1.656021610768908e-03	2.356593e+00	-8.256466e-02
1.669274958983194e-03	2.501636e+00	-8.698369e-02
1.686016030411765e-03	2.658022e+00	-9.162935e-02
1.702757101840336e-03	2.782537e+00	-9.519869e-02
1.719498173268907e-03	2.875181e+00	-9.769169e-02
1.736239244697478e-03	2.935955e+00	-9.910837e-02
1.752980316126049e-03	2.964859e+00	-9.944871e-02
1.769721387554620e-03	2.961891e+00	-9.871273e-02
1.786462458983191e-03	2.927054e+00	-9.690042e-02
1.802505985768905e-03	2.858503e+00	-9.400381e-02
1.818549512554619e-03	2.764027e+00	-9.027257e-02
1.834593039340333e-03	2.643625e+00	-8.570669e-02
1.850636566126047e-03	2.497297e+00	-8.030617e-02
1.866680092911761e-03	2.325042e+00	-7.407101e-02
1.882723619697475e-03	2.126862e+00	-6.700121e-02
1.898767146483189e-03	1.902756e+00	-5.909677e-02
1.909230316126046e-03	1.746794e+00	-5.364617e-02
1.919693485768903e-03	1.585071e+00	-4.802665e-02
1.930156655411760e-03	1.417587e+00	-4.223821e-02
1.940619825054617e-03	1.244342e+00	-3.628085e-02
1.951082994697474e-03	1.065335e+00	-3.015457e-02
1.961546164340330e-03	8.805675e-01	-2.385937e-02
1.972009333983187e-03	6.900387e-01	-1.739525e-02
1.976892146483187e-03	6.007212e-01	-1.437466e-02
1.981774958983187e-03	5.110428e-01	-1.134768e-02
1.986657771483187e-03	4.210033e-01	-8.314319e-03
1.991540583983187e-03	3.306028e-01	-5.274565e-03
1.996423396483187e-03	2.398413e-01	-2.228422e-03
2.001306208983187e-03	1.487188e-01	8.241102e-04
2.006189021483187e-03	5.723533e-02	3.883031e-03
2.020837458983186e-03	-2.166004e-01	1.300489e-02
2.028510450054615e-03	-3.602933e-01	1.777069e-02
2.036183441126043e-03	-5.023537e-01	2.246837e-02
2.043856432197472e-03	-6.427816e-01	2.709793e-02
2.051529423268900e-03	-7.815770e-01	3.165936e-02
2.059202414340328e-03	-9.187398e-01	3.615268e-02
2.066875405411757e-03	-1.054270e+00	4.057788e-02
2.074548396483185e-03	-1.188168e+00	4.493496e-02
2.087801744697471e-03	-1.414797e+00	5.227080e-02
2.101055092911756e-03	-1.628248e+00	5.913512e-02
2.114308441126042e-03	-1.828521e+00	6.552792e-02
2.127561789340327e-03	-2.015616e+00	7.144919e-02
2.140815137554612e-03	-2.189533e+00	7.689893e-02
2.154068485768898e-03	-2.350272e+00	8.187715e-02
2.167321833983183e-03	-2.497834e+00	8.638384e-02
2.184062905411754e-03	-2.657652e+00	9.114797e-02
2.200803976840325e-03	-2.785681e+00	9.483769e-02
2.217545048268896e-03	-2.881921e+00	9.745302e-02
2.234286119697467e-03	-2.946372e+00	9.899393e-02
2.251027191126039e-03	-2.979035e+00	9.946045e-02
2.267768262554609e-03	-2.979908e+00	9.885256e-02
2.284509333983181e-03	-2.948992e+00	9.717026e-02
2.300552860768895e-03	-2.884123e+00	9.439480e-02
2.316596387554608e-03	-2.793148e+00	9.077802e-02
2.332639914340322e-03	-2.676065e+00	8.631993e-02
2.348683441126037e-03	-2.532876e+00	8.102051e-02
2.364726967911750e-03	-2.363580e+00	7.487978e-02
2.380770494697464e-03	-2.168178e+00	6.789773e-02
2.396814021483178e-03	-1.946669e+00	6.007437e-02
2.407277191126035e-03	-1.792211e+00	5.467006e-02
2.417740360768892e-03	-1.631852e+00	4.909202e-02
2.428203530411749e-03	-1.465592e+00	4.334025e-02
2.438666700054606e-03	-1.293431e+00	3.741475e-02
2.449129869697463e-03	-1.115370e+00	3.131552e-02
2.459593039340320e-03	-9.314067e-01	2.504256e-02
2.470056208983177e-03	-7.415428e-01	1.859586e-02
2.474939021483177e-03	-6.524785e-01	1.558149e-02
2.479821833983176e-03	-5.630192e-01	1.255959e-02
2.484704646483176e-03	-4.731648e-01	9.530148e-03
2.489587458983176e-03	-3.829155e-01	6.493176e-03
2.494470271483176e-03	-2.922710e-01	3.448671e-03
2.499353083983176e-03	-2.012316e-01	3.966313e-04
2.504235896483176e-03	-1.097971e-01	-2.662942e-03
2.518884333983176e-03	1.640989e-01	-1.179366e-02
2.525859780411747e-03	2.947700e-01	-1.613150e-02
2.532835226840318e-03	4.242450e-01	-2.041807e-02
2.539810673268889e-03	5.525237e-01	-2.465336e-02
2.546786119697461e-03	6.796062e-01	-2.883738e-02
2.553761566126032e-03	8.054925e-01	-3.297013e-02
2.560737012554603e-03	9.301825e-01	-3.705161e-02
2.567712458983175e-03	1.053676e+00	-4.108182e-02
2.580268262554603e-03	1.272565e+00	-4.819176e-02
2.592824066126031e-03	1.480457e+00	-5.490485e-02
2.605379869697460e-03	1.677353e+00	-6.122106e-02
2.617935673268888e-03	1.863252e+00	-6.714040e-02
2.630491476840316e-03	2.038154e+00	-7.266288e-02
2.643047280411745e-03	2.202060e+00	-7.778848e-02
2.655603083983173e-03	2.354970e+00	-8.251722e-02
2.673041700054601e-03	2.541883e+00	-8.818577e-02
2.690480316126029e-03	2.694831e+00	-9.270211e-02
2.707918932197457e-03	2.813816e+00	-9.606625e-02
2.725357548268885e-03	2.898835e+00	-9.827818e-02
2.742796164340314e-03	2.949890e+00	-9.933792e-02
2.760234780411742e-03	2.966981e+00	-9.924544e-02
2.777673396483170e-03	2.950106e+00	-9.800076e-02
2.794414467911741e-03	2.894875e+00	-9.551397e-02
2.811155539340312e-03	2.810821e+00	-9.209625e-02
2.827896610768883e-03	2.697944e+00	-8.774758e-02
2.844637682197454e-03	2.556244e+00	-8.246799e-02
2.861378753626026e-03	2.385722e+00	-7.625745e-02
2.878119825054596e-03	2.186376e+00	-6.911599e-02
2.894860896483168e-03	1.958208e+00	-6.104358e-02
2.905324066126025e-03	1.805277e+00	-5.568638e-02
2.915787235768881e-03	1.646307e+00	-5.015067e-02
2.926250405411738e-03	1.481296e+00	-4.443643e-02
2.936713575054595e-03	1.310245e+00	-3.854369e-02
2.947176744697452e-03	1.133155e+00	-3.247242e-02
2.957639914340309e-03	9.500242e-01	-2.622264e-02
2.968103083983166e-03	7.608536e-01	-1.979434e-02
2.973683441126023e-03	6.592416e-01	-1.635311e-02
2.979263798268880e-03	5.571249e-01	-1.290241e-02
2.984844155411737e-03	4.545036e-01	-9.442246e-03
2.990424512554594e-03	3.513775e-01	-5.972620e-03
2.996004869697451e-03	2.477467e-01	-2.493531e-03
3.001585226840308e-03	1.436113e-01	9.950203e-04
3.007165583983165e-03	3.897117e-02	4.493035e-03
3.021814021483165e-03	-2.348190e-01	1.360995e-02
3.029487012554593e-03	-3.784253e-01	1.837107e-02
3.037160003626022e-03	-5.203579e-01	2.306271e-02
3.044832994697450e-03	-6.606170e-01	2.768488e-02
3.052505985768878e-03	-7.992024e-01	3.223758e-02
3.060178976840307e-03	-9.361142e-01	3.672080e-02
3.067851967911735e-03	-1.071352e+00	4.113456e-02
3.075524958983164e-03	-1.204917e+00	4.547885e-02
3.088778307197449e-03	-1.430865e+00	5.278916e-02
3.102031655411735e-03	-1.643539e+00	5.962491e-02
3.115285003626020e-03	-1.842939e+00	6.598609e-02
3.128538351840305e-03	-2.029066e+00	7.187272e-02
3.141791700054591e-03	-2.201918e+00	7.728478e-02
3.155045048268876e-03	-2.361497e+00	8.222229e-02
3.168298396483162e-03	-2.507802e+00	8.668523e-02
3.185039467911733e-03	-2.665907e+00	9.139022e-02
3.201780539340304e-03	-2.792181e+00	9.501981e-02
3.218521610768875e-03	-2.886625e+00	9.757402e-02
3.235262682197446e-03	-2.949239e+00	9.905285e-02
3.252003753626017e-03	-2.980023e+00	9.945629e-02
3.268744825054588e-03	-2.978976e+00	9.878434e-02
3.285485896483159e-03	-2.946098e+00	9.703700e-02
3.301529423268873e-03	-2.879387e+00	9.420092e-02
3.317572950054587e-03	-2.786660e+00	9.052684e-02
3.333616476840301e-03	-2.667915e+00	8.601476e-02
3.349660003626015e-03	-2.523154e+00	8.066469e-02
3.365703530411729e-03	-2.352376e+00	7.447663e-02
3.381747057197443e-03	-2.155581e+00	6.745057e-02
