v9	V(vo8)
-8.799999999999990e-01	8.475244e+00
-8.699999999999990e-01	8.474814e+00
-8.599999999999990e-01	8.474376e+00
-8.499999999999990e-01	8.473926e+00
-8.399999999999990e-01	8.473466e+00
-8.299999999999990e-01	8.472996e+00
-8.199999999999990e-01	8.472513e+00
-8.099999999999989e-01	8.472019e+00
-7.999999999999989e-01	8.471513e+00
-7.899999999999989e-01	8.470994e+00
-7.799999999999989e-01	8.470462e+00
-7.699999999999989e-01	8.469916e+00
-7.599999999999989e-01	8.469356e+00
-7.499999999999989e-01	8.468781e+00
-7.399999999999989e-01	8.468189e+00
-7.299999999999989e-01	8.467582e+00
-7.199999999999989e-01	8.466957e+00
-7.099999999999989e-01	8.466314e+00
-6.999999999999988e-01	8.465652e+00
-6.899999999999988e-01	8.464971e+00
-6.799999999999988e-01	8.464267e+00
-6.699999999999988e-01	8.463542e+00
-6.599999999999988e-01	8.462793e+00
-6.499999999999988e-01	8.462020e+00
-6.399999999999988e-01	8.461220e+00
-6.299999999999988e-01	8.460391e+00
-6.199999999999988e-01	8.459533e+00
-6.099999999999988e-01	8.458642e+00
-5.999999999999988e-01	8.457718e+00
-5.899999999999987e-01	8.456757e+00
-5.799999999999987e-01	8.455755e+00
-5.699999999999987e-01	8.454711e+00
-5.599999999999987e-01	8.453621e+00
-5.499999999999987e-01	8.452480e+00
-5.399999999999987e-01	8.451283e+00
-5.299999999999987e-01	8.450027e+00
-5.199999999999987e-01	8.448705e+00
-5.099999999999987e-01	8.447308e+00
-4.999999999999987e-01	8.445829e+00
-4.899999999999987e-01	8.444259e+00
-4.799999999999986e-01	8.442584e+00
-4.699999999999986e-01	8.440792e+00
-4.599999999999986e-01	8.438865e+00
-4.499999999999986e-01	8.436781e+00
-4.399999999999986e-01	8.434512e+00
-4.299999999999986e-01	8.432026e+00
-4.199999999999986e-01	8.429274e+00
-4.099999999999986e-01	8.426195e+00
-3.999999999999986e-01	8.422704e+00
-3.899999999999986e-01	8.418673e+00
-3.799999999999986e-01	8.413907e+00
-3.699999999999986e-01	8.408089e+00
-3.599999999999985e-01	8.400632e+00
-3.499999999999985e-01	8.390305e+00
-3.399999999999985e-01	8.373009e+00
-3.299999999999985e-01	8.326742e+00
-3.199999999999985e-01	8.099873e+00
-3.099999999999985e-01	7.827704e+00
-2.999999999999985e-01	7.555529e+00
-2.899999999999985e-01	7.283353e+00
-2.799999999999985e-01	7.011178e+00
-2.699999999999985e-01	6.739003e+00
-2.599999999999985e-01	6.466827e+00
-2.499999999999984e-01	6.194652e+00
-2.399999999999984e-01	5.922477e+00
-2.299999999999984e-01	5.650301e+00
-2.199999999999984e-01	5.378126e+00
-2.099999999999984e-01	5.105951e+00
-1.999999999999984e-01	4.833776e+00
-1.899999999999984e-01	4.561600e+00
-1.799999999999984e-01	4.289425e+00
-1.699999999999984e-01	4.017250e+00
-1.599999999999984e-01	3.745074e+00
-1.499999999999984e-01	3.472899e+00
-1.399999999999983e-01	3.200724e+00
-1.299999999999983e-01	2.928548e+00
-1.199999999999983e-01	2.656373e+00
-1.099999999999983e-01	2.384198e+00
-9.999999999999835e-02	2.112022e+00
-8.999999999999836e-02	1.839847e+00
-7.999999999999836e-02	1.567672e+00
-6.999999999999837e-02	1.295496e+00
-5.999999999999837e-02	1.023321e+00
-4.999999999999837e-02	7.511458e-01
-3.999999999999836e-02	4.789705e-01
-2.999999999999836e-02	2.067952e-01
-1.999999999999836e-02	-6.538016e-02
-9.999999999998359e-03	-3.375555e-01
1.641048408274060e-15	-6.097308e-01
1.000000000000164e-02	-8.819061e-01
2.000000000000164e-02	-1.154081e+00
3.000000000000164e-02	-1.426257e+00
4.000000000000165e-02	-1.698432e+00
5.000000000000165e-02	-1.970607e+00
6.000000000000165e-02	-2.242783e+00
7.000000000000164e-02	-2.514958e+00
8.000000000000164e-02	-2.787133e+00
9.000000000000163e-02	-3.059309e+00
1.000000000000016e-01	-3.331484e+00
1.100000000000016e-01	-3.603659e+00
1.200000000000016e-01	-3.875835e+00
1.300000000000016e-01	-4.148010e+00
1.400000000000016e-01	-4.420185e+00
1.500000000000016e-01	-4.692360e+00
1.600000000000016e-01	-4.964536e+00
1.700000000000016e-01	-5.236711e+00
1.800000000000017e-01	-5.508886e+00
1.900000000000017e-01	-5.781062e+00
2.000000000000017e-01	-6.053237e+00
2.100000000000017e-01	-6.325412e+00
2.200000000000017e-01	-6.597588e+00
2.300000000000017e-01	-6.869763e+00
2.400000000000017e-01	-7.141938e+00
2.500000000000017e-01	-7.414114e+00
2.600000000000017e-01	-7.686289e+00
2.700000000000017e-01	-7.958464e+00
2.800000000000017e-01	-8.230639e+00
2.900000000000018e-01	-8.502815e+00
