time	V(vo8)
2.614412334559194e-03	2.585121e-01
2.618698048844909e-03	3.223488e-01
2.622983763130624e-03	3.855800e-01
2.627269477416338e-03	4.482057e-01
2.637698048844911e-03	5.984571e-01
2.648126620273484e-03	7.420669e-01
2.658555191702057e-03	8.790352e-01
2.668983763130630e-03	1.009362e+00
2.679412334559202e-03	1.133047e+00
2.689840905987775e-03	1.250091e+00
2.700269477416348e-03	1.360493e+00
2.708698048844921e-03	1.442921e+00
2.717126620273493e-03	1.519111e+00
2.725555191702066e-03	1.589063e+00
2.733983763130638e-03	1.652776e+00
2.742412334559211e-03	1.710251e+00
2.750840905987784e-03	1.761488e+00
2.759269477416356e-03	1.806486e+00
2.766840905987786e-03	1.840862e+00
2.774412334559215e-03	1.869568e+00
2.781983763130645e-03	1.892604e+00
2.789555191702074e-03	1.909970e+00
2.797126620273504e-03	1.921666e+00
2.804698048844933e-03	1.927691e+00
2.812269477416363e-03	1.928047e+00
2.825126620273508e-03	1.914477e+00
2.837983763130652e-03	1.885222e+00
2.850840905987797e-03	1.840283e+00
2.863698048844941e-03	1.779659e+00
2.876555191702086e-03	1.703351e+00
2.889412334559230e-03	1.611359e+00
2.902269477416375e-03	1.503682e+00
2.912412334559233e-03	1.408699e+00
2.922555191702092e-03	1.306642e+00
2.932698048844950e-03	1.197513e+00
2.942840905987809e-03	1.081310e+00
2.952983763130667e-03	9.580345e-01
2.963126620273526e-03	8.276859e-01
2.973269477416384e-03	6.902642e-01
2.977698048844956e-03	6.289835e-01
2.982126620273529e-03	5.668661e-01
2.986555191702100e-03	5.039120e-01
2.990983763130672e-03	4.401211e-01
2.995412334559244e-03	3.754935e-01
2.999840905987817e-03	3.100291e-01
3.004269477416388e-03	2.437279e-01
3.006555191702103e-03	2.092924e-01
3.008840905987818e-03	1.747059e-01
3.011126620273532e-03	1.399684e-01
3.013412334559247e-03	1.050800e-01
3.015698048844961e-03	7.004050e-02
3.017983763130676e-03	3.485005e-02
3.020269477416391e-03	-4.913775e-04
3.024840905987820e-03	-7.165628e-02
3.029412334559249e-03	-1.431170e-01
3.033983763130678e-03	-2.148736e-01
3.038555191702107e-03	-2.869260e-01
3.043126620273537e-03	-3.592743e-01
3.047698048844966e-03	-4.319184e-01
3.052269477416395e-03	-5.048584e-01
3.054269477416395e-03	-5.367352e-01
3.064555191702111e-03	-7.024286e-01
3.074840905987827e-03	-8.660536e-01
3.085126620273542e-03	-1.027610e+00
3.095412334559258e-03	-1.187099e+00
3.105698048844973e-03	-1.344519e+00
3.115983763130689e-03	-1.499870e+00
3.126269477416405e-03	-1.653154e+00
3.138698048844978e-03	-1.832866e+00
3.151126620273551e-03	-2.002713e+00
3.163555191702124e-03	-2.162696e+00
3.175983763130697e-03	-2.312814e+00
3.188412334559270e-03	-2.453067e+00
3.200840905987843e-03	-2.583455e+00
3.213269477416416e-03	-2.703979e+00
3.220412334559274e-03	-2.766482e+00
3.227555191702132e-03	-2.824377e+00
3.234698048844990e-03	-2.877665e+00
3.241840905987849e-03	-2.926345e+00
3.248983763130707e-03	-2.970417e+00
3.256126620273565e-03	-3.009881e+00
3.263269477416423e-03	-3.044737e+00
3.271983763130710e-03	-3.080451e+00
3.280698048844996e-03	-3.108614e+00
3.289412334559283e-03	-3.129228e+00
3.298126620273571e-03	-3.142291e+00
3.306840905987857e-03	-3.147804e+00
3.315555191702144e-03	-3.145768e+00
3.324269477416431e-03	-3.136181e+00
3.338269477416433e-03	-3.103294e+00
3.352269477416435e-03	-3.052516e+00
3.366269477416437e-03	-2.983848e+00
3.380269477416438e-03	-2.897288e+00
3.394269477416440e-03	-2.792839e+00
3.408269477416442e-03	-2.670499e+00
3.422269477416444e-03	-2.530268e+00
3.431269477416445e-03	-2.432507e+00
3.440269477416446e-03	-2.329788e+00
3.449269477416448e-03	-2.222111e+00
3.458269477416449e-03	-2.109475e+00
3.467269477416450e-03	-1.991880e+00
3.476269477416451e-03	-1.869327e+00
3.485269477416452e-03	-1.741815e+00
3.488126620273596e-03	-1.700818e+00
3.490983763130739e-03	-1.659503e+00
3.493840905987882e-03	-1.617869e+00
3.496698048845025e-03	-1.575918e+00
3.499555191702169e-03	-1.533649e+00
3.502412334559312e-03	-1.491062e+00
3.505269477416455e-03	-1.448156e+00
3.507412334559312e-03	-1.415810e+00
3.509555191702170e-03	-1.383332e+00
3.511698048845027e-03	-1.350723e+00
3.513840905987885e-03	-1.317983e+00
3.515983763130742e-03	-1.285111e+00
3.518126620273600e-03	-1.252108e+00
3.520269477416457e-03	-1.218974e+00
3.528126620273601e-03	-1.095878e+00
3.535983763130745e-03	-9.723533e-01
3.543840905987889e-03	-8.483991e-01
3.551698048845032e-03	-7.240156e-01
3.559555191702177e-03	-5.992028e-01
3.567412334559320e-03	-4.739606e-01
3.575269477416464e-03	-3.482891e-01
3.578412334559322e-03	-2.984379e-01
3.581555191702179e-03	-2.487562e-01
3.584698048845037e-03	-1.992440e-01
3.587840905987895e-03	-1.499014e-01
3.590983763130752e-03	-1.007282e-01
3.594126620273610e-03	-5.172462e-02
3.597269477416467e-03	-2.890521e-03
3.601555191702182e-03	6.336845e-02
3.605840905987897e-03	1.290219e-01
3.610126620273612e-03	1.940697e-01
3.614412334559326e-03	2.585121e-01
3.618698048845041e-03	3.223488e-01
3.622983763130756e-03	3.855800e-01
3.627269477416471e-03	4.482057e-01
3.637698048845044e-03	5.984571e-01
3.648126620273617e-03	7.420669e-01
3.658555191702190e-03	8.790352e-01
3.668983763130762e-03	1.009362e+00
3.679412334559335e-03	1.133047e+00
3.689840905987908e-03	1.250091e+00
3.700269477416481e-03	1.360493e+00
3.708698048845053e-03	1.442921e+00
3.717126620273626e-03	1.519111e+00
3.725555191702199e-03	1.589063e+00
3.733983763130771e-03	1.652776e+00
3.742412334559343e-03	1.710251e+00
3.750840905987916e-03	1.761488e+00
3.759269477416489e-03	1.806486e+00
3.766840905987918e-03	1.840862e+00
3.774412334559348e-03	1.869568e+00
3.781983763130777e-03	1.892604e+00
3.789555191702207e-03	1.909970e+00
3.797126620273637e-03	1.921666e+00
3.804698048845066e-03	1.927691e+00
3.812269477416496e-03	1.928047e+00
