time	V(vin4)	V(vo4)
6.964787387624184e-04	9.126613e-01	-9.979364e+00
7.086215959052759e-04	9.126501e-01	-9.979364e+00
7.207644530481332e-04	9.126390e-01	-9.979363e+00
7.266215959052762e-04	9.126337e-01	-9.979363e+00
7.324787387624192e-04	9.126283e-01	-9.979363e+00
7.383358816195622e-04	9.126229e-01	-9.979363e+00
7.441930244767053e-04	9.126176e-01	-9.979362e+00
7.500501673338482e-04	9.126122e-01	-9.979362e+00
7.559073101909913e-04	9.126068e-01	-9.979362e+00
7.617644530481342e-04	9.126015e-01	-9.979362e+00
7.641930244767057e-04	9.125993e-01	-9.979362e+00
7.666215959052772e-04	9.125971e-01	-9.979362e+00
7.690501673338487e-04	9.125948e-01	-9.979362e+00
7.714787387624202e-04	9.125926e-01	-9.979362e+00
7.739073101909917e-04	9.125904e-01	-9.979362e+00
7.763358816195631e-04	9.125882e-01	-9.979362e+00
7.787644530481346e-04	9.125859e-01	-9.979362e+00
7.859073101909920e-04	9.125794e-01	-9.979361e+00
7.930501673338493e-04	9.125728e-01	-9.979361e+00
8.001930244767066e-04	9.125663e-01	-9.979361e+00
8.073358816195639e-04	9.125598e-01	-9.979360e+00
8.144787387624212e-04	9.125532e-01	-9.979360e+00
8.216215959052786e-04	9.125467e-01	-9.979360e+00
8.287644530481359e-04	9.125401e-01	-9.979360e+00
8.411930244767076e-04	9.125288e-01	-9.979359e+00
8.536215959052793e-04	9.125174e-01	-9.979358e+00
8.660501673338510e-04	9.125060e-01	-9.979358e+00
8.784787387624228e-04	9.124946e-01	-9.979358e+00
8.909073101909946e-04	9.124833e-01	-9.979357e+00
9.033358816195663e-04	9.124719e-01	-9.979357e+00
9.157644530481380e-04	9.124605e-01	-9.979357e+00
9.249073101909953e-04	9.124521e-01	-9.979357e+00
9.340501673338526e-04	9.124437e-01	-9.979356e+00
9.431930244767099e-04	9.124354e-01	-9.979356e+00
9.523358816195672e-04	9.124270e-01	-9.979356e+00
9.614787387624245e-04	9.124186e-01	-9.979355e+00
9.706215959052818e-04	9.124103e-01	-9.979355e+00
9.797644530481391e-04	9.124019e-01	-9.979354e+00
9.827644530481388e-04	9.123992e-01	-9.979354e+00
9.857644530481386e-04	9.123964e-01	-9.979354e+00
9.887644530481383e-04	9.123937e-01	-9.979354e+00
9.917644530481381e-04	9.123909e-01	-9.979354e+00
9.947644530481378e-04	9.123882e-01	-9.979354e+00
9.977644530481376e-04	9.123854e-01	-9.979354e+00
1.000764453048137e-03	9.123827e-01	-9.979354e+00
1.001764453048137e-03	9.123818e-01	-9.979354e+00
1.004050167333851e-03	9.123797e-01	-9.979354e+00
1.006335881619565e-03	9.123776e-01	-9.979353e+00
1.008621595905279e-03	9.123755e-01	-9.979353e+00
1.010907310190994e-03	9.123734e-01	-9.979353e+00
1.013193024476708e-03	9.123713e-01	-9.979353e+00
1.015478738762422e-03	9.123692e-01	-9.979353e+00
1.017764453048136e-03	9.123671e-01	-9.979353e+00
1.022050167333850e-03	9.123632e-01	-9.979353e+00
1.026335881619564e-03	9.123593e-01	-9.979353e+00
1.030621595905278e-03	9.123554e-01	-9.979353e+00
1.034907310190992e-03	9.123514e-01	-9.979353e+00
1.039193024476705e-03	9.123475e-01	-9.979353e+00
1.043478738762420e-03	9.123436e-01	-9.979352e+00
1.047764453048133e-03	9.123397e-01	-9.979352e+00
1.050335881619562e-03	9.123373e-01	-9.979352e+00
1.052907310190990e-03	9.123349e-01	-9.979352e+00
1.055478738762419e-03	9.123326e-01	-9.979352e+00
1.058050167333847e-03	9.123302e-01	-9.979352e+00
1.060621595905275e-03	9.123279e-01	-9.979352e+00
1.063193024476703e-03	9.123255e-01	-9.979351e+00
1.065764453048132e-03	9.123232e-01	-9.979351e+00
1.074478738762417e-03	9.123152e-01	-9.979351e+00
1.083193024476702e-03	9.123072e-01	-9.979351e+00
1.091907310190987e-03	9.122993e-01	-9.979351e+00
1.100621595905272e-03	9.122913e-01	-9.979351e+00
1.109335881619557e-03	9.122833e-01	-9.979350e+00
1.118050167333842e-03	9.122753e-01	-9.979350e+00
1.126764453048127e-03	9.122673e-01	-9.979349e+00
1.139193024476697e-03	9.122560e-01	-9.979349e+00
1.151621595905267e-03	9.122446e-01	-9.979349e+00
1.164050167333838e-03	9.122332e-01	-9.979348e+00
1.176478738762408e-03	9.122218e-01	-9.979348e+00
1.188907310190979e-03	9.122104e-01	-9.979347e+00
1.201335881619549e-03	9.121991e-01	-9.979347e+00
1.213764453048119e-03	9.121877e-01	-9.979346e+00
1.220907310190976e-03	9.121812e-01	-9.979346e+00
1.228050167333832e-03	9.121746e-01	-9.979346e+00
1.235193024476689e-03	9.121681e-01	-9.979345e+00
1.242335881619546e-03	9.121615e-01	-9.979345e+00
1.249478738762402e-03	9.121550e-01	-9.979345e+00
1.256621595905259e-03	9.121485e-01	-9.979345e+00
1.263764453048115e-03	9.121419e-01	-9.979344e+00
1.268621595905258e-03	9.121375e-01	-9.979344e+00
1.273478738762400e-03	9.121330e-01	-9.979344e+00
1.278335881619543e-03	9.121286e-01	-9.979344e+00
1.283193024476685e-03	9.121241e-01	-9.979344e+00
1.288050167333827e-03	9.121197e-01	-9.979344e+00
1.292907310190970e-03	9.121153e-01	-9.979344e+00
1.297764453048112e-03	9.121108e-01	-9.979343e+00
1.302764453048112e-03	9.121062e-01	-9.979344e+00
1.307764453048112e-03	9.121016e-01	-9.979344e+00
1.312764453048111e-03	9.120971e-01	-9.979343e+00
1.317764453048111e-03	9.120925e-01	-9.979343e+00
1.322764453048110e-03	9.120879e-01	-9.979343e+00
1.327764453048110e-03	9.120833e-01	-9.979343e+00
1.332764453048109e-03	9.120787e-01	-9.979342e+00
1.346478738762394e-03	9.120662e-01	-9.979342e+00
1.360193024476678e-03	9.120536e-01	-9.979341e+00
1.373907310190963e-03	9.120411e-01	-9.979341e+00
1.387621595905248e-03	9.120285e-01	-9.979340e+00
1.401335881619532e-03	9.120160e-01	-9.979340e+00
1.415050167333817e-03	9.120034e-01	-9.979340e+00
1.428764453048101e-03	9.119908e-01	-9.979340e+00
1.437050167333815e-03	9.119832e-01	-9.979339e+00
1.445335881619529e-03	9.119757e-01	-9.979339e+00
1.453621595905242e-03	9.119681e-01	-9.979339e+00
1.461907310190956e-03	9.119605e-01	-9.979339e+00
1.470193024476669e-03	9.119529e-01	-9.979338e+00
1.478478738762383e-03	9.119454e-01	-9.979338e+00
1.486764453048096e-03	9.119378e-01	-9.979338e+00
1.489478738762382e-03	9.119353e-01	-9.979337e+00
1.492193024476667e-03	9.119328e-01	-9.979337e+00
1.494907310190953e-03	9.119303e-01	-9.979337e+00
1.497621595905238e-03	9.119278e-01	-9.979337e+00
1.500335881619524e-03	9.119253e-01	-9.979337e+00
1.503050167333809e-03	9.119229e-01	-9.979337e+00
1.505764453048095e-03	9.119204e-01	-9.979337e+00
1.507764453048095e-03	9.119185e-01	-9.979337e+00
1.509764453048095e-03	9.119167e-01	-9.979337e+00
1.511764453048094e-03	9.119148e-01	-9.979337e+00
1.513764453048094e-03	9.119130e-01	-9.979337e+00
1.515764453048094e-03	9.119112e-01	-9.979336e+00
1.517764453048094e-03	9.119094e-01	-9.979336e+00
1.519764453048094e-03	9.119076e-01	-9.979336e+00
1.526193024476665e-03	9.119017e-01	-9.979336e+00
1.532621595905235e-03	9.118958e-01	-9.979336e+00
1.539050167333806e-03	9.118899e-01	-9.979336e+00
1.545478738762377e-03	9.118840e-01	-9.979336e+00
1.551907310190948e-03	9.118781e-01	-9.979335e+00
1.558335881619519e-03	9.118722e-01	-9.979335e+00
1.564764453048090e-03	9.118664e-01	-9.979335e+00
1.567050167333804e-03	9.118643e-01	-9.979335e+00
1.569335881619518e-03	9.118622e-01	-9.979335e+00
1.571621595905232e-03	9.118601e-01	-9.979335e+00
1.573907310190946e-03	9.118580e-01	-9.979335e+00
1.576193024476660e-03	9.118559e-01	-9.979335e+00
1.578478738762375e-03	9.118538e-01	-9.979334e+00
1.580764453048089e-03	9.118517e-01	-9.979334e+00
1.588621595905231e-03	9.118445e-01	-9.979334e+00
1.596478738762373e-03	9.118373e-01	-9.979333e+00
1.604335881619515e-03	9.118301e-01	-9.979333e+00
1.612193024476657e-03	9.118229e-01	-9.979333e+00
1.620050167333800e-03	9.118157e-01	-9.979333e+00
1.627907310190942e-03	9.118085e-01	-9.979332e+00
1.635764453048084e-03	9.118013e-01	-9.979332e+00
1.647907310190940e-03	9.117902e-01	-9.979332e+00
1.660050167333796e-03	9.117791e-01	-9.979332e+00
1.672193024476652e-03	9.117680e-01	-9.979331e+00
1.684335881619508e-03	9.117569e-01	-9.979331e+00
1.696478738762365e-03	9.117457e-01	-9.979330e+00
1.708621595905221e-03	9.117346e-01	-9.979330e+00
1.720764453048077e-03	9.117235e-01	-9.979329e+00
1.726621595905219e-03	9.117182e-01	-9.979329e+00
1.732478738762362e-03	9.117128e-01	-9.979329e+00
1.738335881619504e-03	9.117075e-01	-9.979329e+00
1.744193024476646e-03	9.117021e-01	-9.979329e+00
1.750050167333788e-03	9.116967e-01	-9.979329e+00
1.755907310190931e-03	9.116914e-01	-9.979329e+00
1.761764453048073e-03	9.116860e-01	-9.979328e+00
1.764193024476645e-03	9.116838e-01	-9.979328e+00
1.766621595905216e-03	9.116815e-01	-9.979328e+00
1.769050167333787e-03	9.116793e-01	-9.979328e+00
1.771478738762358e-03	9.116771e-01	-9.979328e+00
1.773907310190929e-03	9.116749e-01	-9.979328e+00
1.776335881619501e-03	9.116727e-01	-9.979328e+00
1.778764453048072e-03	9.116704e-01	-9.979327e+00
1.785907310190928e-03	9.116639e-01	-9.979327e+00
1.793050167333785e-03	9.116573e-01	-9.979327e+00
1.800193024476641e-03	9.116508e-01	-9.979326e+00
1.807335881619498e-03	9.116442e-01	-9.979326e+00
1.814478738762355e-03	9.116377e-01	-9.979326e+00
1.821621595905211e-03	9.116312e-01	-9.979326e+00
1.828764453048068e-03	9.116247e-01	-9.979326e+00
1.841193024476638e-03	9.116133e-01	-9.979326e+00
1.853621595905208e-03	9.116019e-01	-9.979325e+00
1.866050167333779e-03	9.115905e-01	-9.979325e+00
1.878478738762349e-03	9.115791e-01	-9.979324e+00
1.890907310190920e-03	9.115677e-01	-9.979324e+00
1.903335881619490e-03	9.115563e-01	-9.979323e+00
1.915764453048060e-03	9.115450e-01	-9.979322e+00
1.924907310190917e-03	9.115366e-01	-9.979322e+00
1.934050167333775e-03	9.115283e-01	-9.979322e+00
1.943193024476632e-03	9.115199e-01	-9.979322e+00
1.952335881619489e-03	9.115115e-01	-9.979321e+00
1.961478738762346e-03	9.115032e-01	-9.979321e+00
1.970621595905203e-03	9.114948e-01	-9.979321e+00
1.979764453048061e-03	9.114864e-01	-9.979321e+00
1.983335881619490e-03	9.114831e-01	-9.979321e+00
1.986907310190919e-03	9.114798e-01	-9.979321e+00
1.990478738762348e-03	9.114766e-01	-9.979321e+00
1.994050167333777e-03	9.114733e-01	-9.979320e+00
1.997621595905206e-03	9.114700e-01	-9.979320e+00
2.001193024476635e-03	9.114668e-01	-9.979320e+00
2.004764453048064e-03	9.114635e-01	-9.979320e+00
2.006621595905207e-03	9.114618e-01	-9.979320e+00
2.008478738762350e-03	9.114601e-01	-9.979320e+00
2.010335881619493e-03	9.114584e-01	-9.979320e+00
2.012193024476636e-03	9.114567e-01	-9.979320e+00
2.014050167333780e-03	9.114550e-01	-9.979320e+00
2.015907310190922e-03	9.114533e-01	-9.979320e+00
2.017764453048066e-03	9.114516e-01	-9.979320e+00
2.025764453048067e-03	9.114443e-01	-9.979320e+00
2.029050167333782e-03	9.114413e-01	-9.979319e+00
2.032335881619496e-03	9.114383e-01	-9.979319e+00
2.035621595905211e-03	9.114353e-01	-9.979319e+00
2.038907310190925e-03	9.114322e-01	-9.979319e+00
