time	V(vin2)	V(vo2)
4.872131897540299e-04	-1.990499e-01	5.415892e+00
4.882274754683155e-04	-1.990453e-01	5.471167e+00
4.892417611826011e-04	-1.990413e-01	5.520053e+00
4.902560468968867e-04	-1.990378e-01	5.562551e+00
4.913846183254576e-04	-1.990343e-01	5.605296e+00
4.925131897540283e-04	-1.990311e-01	5.644365e+00
4.936417611825992e-04	-1.990282e-01	5.679757e+00
4.947703326111700e-04	-1.990257e-01	5.711471e+00
4.958989040397409e-04	-1.990234e-01	5.739509e+00
4.970274754683117e-04	-1.990214e-01	5.763869e+00
4.981560468968826e-04	-1.990197e-01	5.784553e+00
4.999560468968816e-04	-1.990172e-01	5.814295e+00
5.000000000000000e-04	-1.990172e-01	5.814955e+00
