v9	V(n022)
-1.169999999999999e+00	8.485838e+00
-1.159999999999999e+00	8.485613e+00
-1.149999999999999e+00	8.485383e+00
-1.139999999999999e+00	8.485147e+00
-1.129999999999999e+00	8.484908e+00
-1.119999999999999e+00	8.484663e+00
-1.109999999999999e+00	8.484412e+00
-1.099999999999999e+00	8.484158e+00
-1.089999999999999e+00	8.483896e+00
-1.079999999999999e+00	8.483630e+00
-1.069999999999999e+00	8.483357e+00
-1.059999999999999e+00	8.483080e+00
-1.049999999999999e+00	8.482797e+00
-1.039999999999999e+00	8.482507e+00
-1.029999999999999e+00	8.482211e+00
-1.019999999999999e+00	8.481909e+00
-1.009999999999999e+00	8.481600e+00
-9.999999999999991e-01	8.481284e+00
-9.899999999999991e-01	8.480963e+00
-9.799999999999991e-01	8.480633e+00
-9.699999999999991e-01	8.480297e+00
-9.599999999999991e-01	8.479953e+00
-9.499999999999991e-01	8.479602e+00
-9.399999999999991e-01	8.479242e+00
-9.299999999999990e-01	8.478875e+00
-9.199999999999990e-01	8.478499e+00
-9.099999999999990e-01	8.478116e+00
-8.999999999999990e-01	8.477723e+00
-8.899999999999990e-01	8.477322e+00
-8.799999999999990e-01	8.476911e+00
-8.699999999999990e-01	8.476490e+00
-8.599999999999990e-01	8.476059e+00
-8.499999999999990e-01	8.475618e+00
-8.399999999999990e-01	8.475166e+00
-8.299999999999990e-01	8.474705e+00
-8.199999999999990e-01	8.474231e+00
-8.099999999999989e-01	8.473744e+00
-7.999999999999989e-01	8.473247e+00
-7.899999999999989e-01	8.472735e+00
-7.799999999999989e-01	8.472212e+00
-7.699999999999989e-01	8.471674e+00
-7.599999999999989e-01	8.471122e+00
-7.499999999999989e-01	8.470554e+00
-7.399999999999989e-01	8.469972e+00
-7.299999999999989e-01	8.469372e+00
-7.199999999999989e-01	8.468756e+00
-7.099999999999989e-01	8.468122e+00
-6.999999999999988e-01	8.467467e+00
-6.899999999999988e-01	8.466794e+00
-6.799999999999988e-01	8.466101e+00
-6.699999999999988e-01	8.465384e+00
-6.599999999999988e-01	8.464644e+00
-6.499999999999988e-01	8.463881e+00
-6.399999999999988e-01	8.463090e+00
-6.299999999999988e-01	8.462272e+00
-6.199999999999988e-01	8.461425e+00
-6.099999999999988e-01	8.460546e+00
-5.999999999999988e-01	8.459633e+00
-5.899999999999987e-01	8.458684e+00
-5.799999999999987e-01	8.457696e+00
-5.699999999999987e-01	8.456666e+00
-5.599999999999987e-01	8.455591e+00
-5.499999999999987e-01	8.454468e+00
-5.399999999999987e-01	8.453290e+00
-5.299999999999987e-01	8.452054e+00
-5.199999999999987e-01	8.450754e+00
-5.099999999999987e-01	8.449383e+00
-4.999999999999987e-01	8.447636e+00
-4.899999999999987e-01	8.446073e+00
-4.799999999999986e-01	8.444397e+00
-4.699999999999986e-01	8.442608e+00
-4.599999999999986e-01	8.440683e+00
-4.499999999999986e-01	8.438602e+00
-4.399999999999986e-01	8.436338e+00
-4.299999999999986e-01	8.433857e+00
-4.199999999999986e-01	8.431112e+00
-4.099999999999986e-01	8.428045e+00
-3.999999999999986e-01	8.424570e+00
-3.899999999999986e-01	8.420568e+00
-3.799999999999986e-01	8.415854e+00
-3.699999999999986e-01	8.410132e+00
-3.599999999999985e-01	8.402401e+00
-3.499999999999985e-01	8.391999e+00
-3.399999999999985e-01	8.374926e+00
-3.299999999999985e-01	8.328476e+00
-3.199999999999985e-01	8.101469e+00
-3.099999999999985e-01	7.829277e+00
-2.999999999999985e-01	7.557077e+00
-2.899999999999985e-01	7.284878e+00
-2.799999999999985e-01	7.012679e+00
-2.699999999999985e-01	6.740480e+00
-2.599999999999985e-01	6.468281e+00
-2.499999999999984e-01	6.196082e+00
-2.399999999999984e-01	5.923882e+00
-2.299999999999984e-01	5.651683e+00
-2.199999999999984e-01	5.379484e+00
-2.099999999999984e-01	5.107285e+00
-1.999999999999984e-01	4.835085e+00
-1.899999999999984e-01	4.562886e+00
-1.799999999999984e-01	4.290687e+00
-1.699999999999984e-01	4.018488e+00
-1.599999999999984e-01	3.746289e+00
-1.499999999999984e-01	3.474090e+00
-1.399999999999983e-01	3.201891e+00
-1.299999999999983e-01	2.929691e+00
-1.199999999999983e-01	2.657492e+00
-1.099999999999983e-01	2.385293e+00
-9.999999999999835e-02	2.113094e+00
-8.999999999999836e-02	1.840895e+00
-7.999999999999836e-02	1.568696e+00
-6.999999999999837e-02	1.296496e+00
-5.999999999999837e-02	1.024297e+00
-4.999999999999837e-02	7.520981e-01
-3.999999999999836e-02	4.798989e-01
-2.999999999999836e-02	2.076998e-01
-1.999999999999836e-02	-6.449941e-02
-9.999999999998359e-03	-3.366986e-01
1.641048408274060e-15	-6.088977e-01
1.000000000000164e-02	-8.810969e-01
2.000000000000164e-02	-1.153296e+00
3.000000000000164e-02	-1.425495e+00
4.000000000000165e-02	-1.697694e+00
5.000000000000165e-02	-1.969894e+00
6.000000000000165e-02	-2.242093e+00
7.000000000000164e-02	-2.514292e+00
8.000000000000164e-02	-2.786491e+00
9.000000000000163e-02	-3.058690e+00
1.000000000000016e-01	-3.330889e+00
1.100000000000016e-01	-3.603089e+00
1.200000000000016e-01	-3.875288e+00
1.300000000000016e-01	-4.147487e+00
1.400000000000016e-01	-4.419686e+00
1.500000000000016e-01	-4.691885e+00
1.600000000000016e-01	-4.964085e+00
1.700000000000016e-01	-5.236284e+00
1.800000000000017e-01	-5.508483e+00
