time	V(vout)
1.578840905987709e-03	1.158853e+00
1.591412334559137e-03	1.349519e+00
1.603983763130564e-03	1.530158e+00
1.616555191701992e-03	1.700769e+00
1.629126620273419e-03	1.861353e+00
1.641698048844847e-03	2.011909e+00
1.654269477416274e-03	2.152437e+00
1.665412334559130e-03	2.264474e+00
1.676555191701986e-03	2.364357e+00
1.687698048844843e-03	2.452086e+00
1.698840905987699e-03	2.527662e+00
1.709983763130555e-03	2.591084e+00
1.721126620273411e-03	2.642353e+00
1.732269477416268e-03	2.681467e+00
1.740840905987695e-03	2.701953e+00
1.749412334559123e-03	2.714574e+00
1.757983763130551e-03	2.719330e+00
1.766555191701979e-03	2.716220e+00
1.775126620273407e-03	2.705245e+00
1.783698048844835e-03	2.686404e+00
1.792269477416263e-03	2.659698e+00
1.803555191701976e-03	2.611844e+00
1.814840905987689e-03	2.551788e+00
1.826126620273402e-03	2.479530e+00
1.837412334559116e-03	2.395070e+00
1.848698048844829e-03	2.298407e+00
1.859983763130543e-03	2.189543e+00
1.871269477416256e-03	2.068477e+00
1.883269477416255e-03	1.927219e+00
1.895269477416254e-03	1.777274e+00
1.907269477416253e-03	1.618642e+00
1.919269477416252e-03	1.451323e+00
1.931269477416251e-03	1.275317e+00
1.943269477416250e-03	1.090624e+00
1.955269477416249e-03	8.972445e-01
1.961698048844821e-03	7.923498e-01
1.968126620273394e-03	6.865944e-01
1.974555191701966e-03	5.799783e-01
1.980983763130538e-03	4.725014e-01
1.987412334559110e-03	3.641639e-01
1.993840905987683e-03	2.549656e-01
2.000269477416255e-03	1.449066e-01
2.002269477416255e-03	1.107323e-01
2.004269477416256e-03	7.655364e-02
2.006269477416256e-03	4.237064e-02
2.008269477416256e-03	8.183301e-03
2.010269477416257e-03	-2.600838e-02
2.012269477416257e-03	-6.020441e-02
2.014269477416257e-03	-9.440479e-02
2.030269477416259e-03	-3.669231e-01
2.039555191701975e-03	-5.248499e-01
2.048840905987690e-03	-6.797116e-01
2.058126620273406e-03	-8.315081e-01
2.067412334559121e-03	-9.802394e-01
2.076698048844837e-03	-1.125906e+00
2.085983763130552e-03	-1.268507e+00
2.095269477416268e-03	-1.408042e+00
2.109269477416270e-03	-1.610501e+00
2.123269477416272e-03	-1.797270e+00
2.137269477416273e-03	-1.968350e+00
2.151269477416275e-03	-2.123742e+00
2.165269477416277e-03	-2.263444e+00
2.179269477416279e-03	-2.387458e+00
2.193269477416281e-03	-2.495782e+00
2.201983763130568e-03	-2.551985e+00
2.210698048844854e-03	-2.600255e+00
2.219412334559141e-03	-2.640590e+00
2.228126620273429e-03	-2.672992e+00
2.236840905987715e-03	-2.697460e+00
2.245555191702002e-03	-2.713995e+00
2.254269477416289e-03	-2.722595e+00
2.261698048844861e-03	-2.723226e+00
2.269126620273434e-03	-2.717996e+00
2.276555191702006e-03	-2.706906e+00
2.283983763130579e-03	-2.689955e+00
2.291412334559151e-03	-2.667143e+00
2.298840905987724e-03	-2.638471e+00
2.306269477416296e-03	-2.603938e+00
2.318983763130583e-03	-2.530136e+00
2.331698048844871e-03	-2.441889e+00
2.344412334559158e-03	-2.339199e+00
2.357126620273446e-03	-2.222064e+00
2.369840905987733e-03	-2.090485e+00
2.382555191702020e-03	-1.944462e+00
2.395269477416308e-03	-1.783994e+00
2.405840905987738e-03	-1.641792e+00
2.416412334559167e-03	-1.494060e+00
2.426983763130598e-03	-1.340798e+00
2.437555191702028e-03	-1.182005e+00
2.448126620273458e-03	-1.017682e+00
2.458698048844887e-03	-8.478290e-01
2.469269477416317e-03	-6.724458e-01
2.474126620273461e-03	-5.914568e-01
2.478983763130604e-03	-5.101092e-01
2.483840905987748e-03	-4.284032e-01
2.488698048844891e-03	-3.463387e-01
2.493555191702035e-03	-2.639157e-01
2.498412334559178e-03	-1.811343e-01
2.503269477416322e-03	-9.799433e-02
2.505698048844894e-03	-5.645769e-02
2.508126620273466e-03	-1.493256e-02
2.510555191702037e-03	2.658106e-02
2.512983763130609e-03	6.808318e-02
2.515412334559181e-03	1.095738e-01
2.517840905987753e-03	1.510529e-01
2.520269477416324e-03	1.925205e-01
2.528126620273468e-03	3.270396e-01
2.535983763130612e-03	4.599584e-01
2.543840905987756e-03	5.912771e-01
2.551698048844900e-03	7.209956e-01
2.559555191702044e-03	8.491139e-01
2.567412334559187e-03	9.756320e-01
2.575269477416332e-03	1.100550e+00
2.588555191702048e-03	1.307254e+00
2.601840905987764e-03	1.501707e+00
2.615126620273480e-03	1.683906e+00
2.628412334559196e-03	1.853853e+00
2.641698048844912e-03	2.011548e+00
2.654983763130628e-03	2.156990e+00
2.668269477416344e-03	2.290179e+00
2.678698048844917e-03	2.382005e+00
2.689126620273490e-03	2.462870e+00
2.699555191702062e-03	2.532772e+00
2.709983763130635e-03	2.591714e+00
2.720412334559208e-03	2.639694e+00
2.730840905987781e-03	2.676712e+00
2.741269477416354e-03	2.702769e+00
2.748983763130640e-03	2.714118e+00
2.756698048844927e-03	2.719102e+00
2.764412334559214e-03	2.717720e+00
2.772126620273501e-03	2.709973e+00
2.779840905987787e-03	2.695861e+00
2.787555191702074e-03	2.675383e+00
2.795269477416361e-03	2.648540e+00
2.806840905987791e-03	2.595586e+00
2.818412334559221e-03	2.529970e+00
2.829983763130651e-03	2.451694e+00
2.841555191702081e-03	2.360756e+00
2.853126620273511e-03	2.257158e+00
2.864698048844941e-03	2.140899e+00
2.876269477416372e-03	2.011979e+00
2.887983763130659e-03	1.869715e+00
2.899698048844946e-03	1.719477e+00
2.911412334559233e-03	1.561265e+00
2.923126620273521e-03	1.395078e+00
2.934840905987808e-03	1.220916e+00
2.946555191702095e-03	1.038780e+00
2.958269477416382e-03	8.486701e-01
2.964412334559240e-03	7.479010e-01
2.970555191702098e-03	6.463959e-01
2.976698048844956e-03	5.441547e-01
2.982840905987814e-03	4.411773e-01
2.988983763130672e-03	3.374639e-01
2.995126620273530e-03	2.330144e-01
3.001269477416388e-03	1.278288e-01
3.003269477416388e-03	9.364486e-02
3.005269477416389e-03	5.945931e-02
3.007269477416389e-03	2.527212e-02
3.009269477416389e-03	-8.916723e-03
3.011269477416389e-03	-4.310721e-02
3.013269477416390e-03	-7.729933e-02
3.015269477416390e-03	-1.114931e-01
3.020698048844962e-03	-2.044326e-01
3.026126620273534e-03	-2.968697e-01
3.031555191702106e-03	-3.888046e-01
3.036983763130678e-03	-4.802371e-01
3.042412334559251e-03	-5.711673e-01
3.047840905987823e-03	-6.615953e-01
3.053269477416395e-03	-7.515209e-01
3.054269477416395e-03	-7.679452e-01
3.065840905987825e-03	-9.579106e-01
3.077412334559255e-03	-1.140529e+00
3.088983763130685e-03	-1.315799e+00
3.100555191702116e-03	-1.483723e+00
3.112126620273546e-03	-1.644299e+00
3.123698048844976e-03	-1.797528e+00
3.135269477416406e-03	-1.943410e+00
3.147269477416407e-03	-2.083090e+00
3.159269477416409e-03	-2.209377e+00
3.171269477416411e-03	-2.322271e+00
3.183269477416412e-03	-2.421771e+00
3.195269477416414e-03	-2.507877e+00
3.207269477416415e-03	-2.580591e+00
3.219269477416417e-03	-2.639910e+00
3.225983763130704e-03	-2.665892e+00
3.232698048844990e-03	-2.687065e+00
3.239412334559277e-03	-2.703429e+00
3.246126620273564e-03	-2.714983e+00
3.252840905987850e-03	-2.721729e+00
3.259555191702137e-03	-2.723666e+00
3.266269477416423e-03	-2.720794e+00
3.275412334559281e-03	-2.708767e+00
3.284555191702140e-03	-2.688065e+00
3.293698048844998e-03	-2.658690e+00
3.302840905987857e-03	-2.620640e+00
3.311983763130715e-03	-2.573917e+00
3.321126620273574e-03	-2.518520e+00
3.330269477416432e-03	-2.454448e+00
3.344412334559291e-03	-2.336897e+00
3.358555191702150e-03	-2.203906e+00
3.372698048845009e-03	-2.055475e+00
3.386840905987868e-03	-1.891605e+00
3.400983763130727e-03	-1.712296e+00
3.415126620273586e-03	-1.517547e+00
3.429269477416445e-03	-1.307359e+00
3.437698048845017e-03	-1.178165e+00
3.446126620273590e-03	-1.046616e+00
3.454555191702163e-03	-9.127105e-01
3.462983763130735e-03	-7.764493e-01
3.471412334559307e-03	-6.378324e-01
3.479840905987880e-03	-4.968596e-01
3.488269477416453e-03	-3.535309e-01
3.490698048845024e-03	-3.122865e-01
3.493126620273596e-03	-2.709939e-01
3.495555191702168e-03	-2.296532e-01
3.497983763130740e-03	-1.882643e-01
3.500412334559311e-03	-1.468273e-01
