time	V(vin)	V(vo1)	V(vo2)
1.005743555710443e-03	1.443200e-01	5.282857e-01	1.410084e-01
1.005982747097098e-03	1.503274e-01	5.365027e-01	1.468216e-01
1.006267900725979e-03	1.574888e-01	5.460306e-01	1.539100e-01
1.007158813122065e-03	1.798599e-01	5.748509e-01	1.761838e-01
1.008251486425050e-03	2.072896e-01	6.089047e-01	2.035264e-01
1.010436833031021e-03	2.621183e-01	6.744589e-01	2.582270e-01
1.014343083031021e-03	3.599932e-01	7.872229e-01	3.559570e-01
1.018249333031021e-03	4.576514e-01	8.964204e-01	4.535375e-01
1.026061833031021e-03	6.520820e-01	1.107489e+00	6.478825e-01
1.033874333031021e-03	8.460645e-01	1.312307e+00	8.418293e-01
1.041686833031021e-03	1.036882e+00	1.512750e+00	1.032626e+00
1.049499333031021e-03	1.224535e+00	1.708816e+00	1.220271e+00
1.057311833031021e-03	1.409023e+00	1.900507e+00	1.404767e+00
1.065124333031021e-03	1.590346e+00	2.087822e+00	1.586111e+00
1.072936833031021e-03	1.768504e+00	2.270761e+00	1.764305e+00
1.080749333031021e-03	1.943497e+00	2.449324e+00	1.939349e+00
1.095258261602450e-03	2.259020e+00	2.771346e+00	2.254992e+00
1.109767190173878e-03	2.550329e+00	3.068427e+00	2.546449e+00
1.124276118745307e-03	2.817424e+00	3.340567e+00	2.813722e+00
1.138785047316736e-03	3.060305e+00	3.587766e+00	3.056810e+00
1.153293975888164e-03	3.278972e+00	3.810024e+00	3.275714e+00
1.167802904459593e-03	3.473425e+00	4.007341e+00	3.470432e+00
1.182311833031021e-03	3.643664e+00	4.179717e+00	3.640965e+00
1.207423440173878e-03	3.855585e+00	4.394914e+00	3.853476e+00
1.232535047316735e-03	3.971566e+00	4.512951e+00	3.970055e+00
1.257646654459593e-03	3.991607e+00	4.533828e+00	3.990703e+00
1.282758261602450e-03	3.915710e+00	4.457545e+00	3.915419e+00
1.307869868745307e-03	3.743873e+00	4.284102e+00	3.744204e+00
1.332981475888164e-03	3.476096e+00	4.013500e+00	3.477057e+00
