vin	V(vo)
Step Information: R=1K
-1.700000000000019e+00	-9.328727e+00
-1.600000000000019e+00	-8.780660e+00
-1.500000000000019e+00	-8.232636e+00
-1.400000000000019e+00	-7.684622e+00
-1.300000000000019e+00	-7.136613e+00
-1.200000000000019e+00	-6.588611e+00
-1.100000000000019e+00	-6.040615e+00
-1.000000000000019e+00	-5.492625e+00
-9.000000000000187e-01	-4.944641e+00
-8.000000000000187e-01	-4.396664e+00
-7.000000000000187e-01	-3.848693e+00
-6.000000000000187e-01	-3.300728e+00
-5.000000000000188e-01	-2.752770e+00
-4.000000000000188e-01	-2.204819e+00
-3.000000000000188e-01	-1.656875e+00
-2.000000000000188e-01	-1.108937e+00
-1.000000000000188e-01	-5.610052e-01
-1.879052469178077e-14	-1.308061e-02
9.999999999998122e-02	5.348371e-01
1.999999999999812e-01	1.082748e+00
2.999999999999812e-01	1.630652e+00
3.999999999999813e-01	2.178549e+00
4.999999999999812e-01	2.726439e+00
5.999999999999812e-01	3.274322e+00
6.999999999999812e-01	3.822198e+00
7.999999999999812e-01	4.370066e+00
8.999999999999811e-01	4.917928e+00
9.999999999999811e-01	5.465782e+00
1.099999999999981e+00	6.013628e+00
1.199999999999981e+00	6.561468e+00
1.299999999999981e+00	7.109300e+00
1.399999999999981e+00	7.657124e+00
1.499999999999982e+00	8.204874e+00
1.599999999999982e+00	8.424777e+00
1.699999999999982e+00	8.449286e+00
1.799999999999982e+00	8.461695e+00
1.899999999999982e+00	8.469633e+00
1.999999999999982e+00	8.475522e+00
2.099999999999982e+00	8.479875e+00
2.199999999999982e+00	8.483239e+00
2.299999999999982e+00	8.485872e+00
2.399999999999982e+00	8.487925e+00
2.499999999999982e+00	8.489510e+00
2.599999999999982e+00	8.490721e+00
2.699999999999982e+00	8.491636e+00
2.799999999999983e+00	8.492318e+00
2.899999999999983e+00	8.492822e+00
2.999999999999983e+00	8.493190e+00
3.099999999999983e+00	8.493457e+00
3.199999999999983e+00	8.493649e+00
3.299999999999983e+00	8.493787e+00
3.399999999999983e+00	8.493885e+00
3.499999999999983e+00	8.493956e+00
3.599999999999983e+00	8.494006e+00
3.699999999999983e+00	8.494041e+00
3.799999999999983e+00	8.494066e+00
3.899999999999983e+00	8.494084e+00
3.999999999999984e+00	8.494097e+00
4.099999999999984e+00	8.494106e+00
4.199999999999983e+00	8.494113e+00
4.299999999999983e+00	8.494117e+00
4.399999999999983e+00	8.494121e+00
4.499999999999982e+00	8.494123e+00
4.599999999999982e+00	8.494124e+00
4.699999999999982e+00	8.494125e+00
4.799999999999981e+00	8.494126e+00
4.899999999999981e+00	8.494127e+00
4.999999999999980e+00	8.494127e+00
5.099999999999980e+00	8.494127e+00
5.199999999999980e+00	8.494128e+00
5.299999999999979e+00	8.494128e+00
5.399999999999979e+00	8.494128e+00
5.499999999999979e+00	8.494128e+00
5.599999999999978e+00	8.494128e+00
5.699999999999978e+00	8.494128e+00
5.799999999999978e+00	8.494128e+00
5.899999999999977e+00	8.494128e+00
5.999999999999977e+00	8.494128e+00
6.099999999999977e+00	8.494128e+00
6.199999999999976e+00	8.494128e+00
6.299999999999976e+00	8.494128e+00
6.399999999999975e+00	8.494129e+00
6.499999999999975e+00	8.494129e+00
6.599999999999975e+00	8.494129e+00
6.699999999999974e+00	8.494129e+00
6.799999999999974e+00	8.494129e+00
6.899999999999974e+00	8.494129e+00
6.999999999999973e+00	8.494129e+00
7.099999999999973e+00	8.494129e+00
7.199999999999973e+00	8.494129e+00
7.299999999999972e+00	8.494129e+00
7.399999999999972e+00	8.494129e+00
7.499999999999972e+00	8.494129e+00
7.599999999999971e+00	8.494129e+00
7.699999999999971e+00	8.494129e+00
7.799999999999971e+00	8.494129e+00
7.899999999999970e+00	8.494129e+00
7.999999999999970e+00	8.494129e+00
8.099999999999969e+00	8.494129e+00
8.199999999999969e+00	8.494129e+00
8.299999999999969e+00	8.494129e+00
8.399999999999968e+00	8.494129e+00
8.499999999999968e+00	8.494129e+00
8.599999999999968e+00	8.494129e+00
8.699999999999967e+00	8.494129e+00
8.799999999999967e+00	8.494129e+00
