vin	I(Rl)
Step Information: R=1K
5.399999999999979e+00	5.393562e-03
5.499999999999979e+00	5.493485e-03
5.599999999999978e+00	5.593408e-03
5.699999999999978e+00	5.693330e-03
5.799999999999978e+00	5.793253e-03
5.899999999999977e+00	5.893176e-03
5.999999999999977e+00	5.993098e-03
6.099999999999977e+00	6.093021e-03
6.199999999999976e+00	6.192943e-03
6.299999999999976e+00	6.292865e-03
6.399999999999975e+00	6.392788e-03
6.499999999999975e+00	6.492710e-03
6.599999999999975e+00	6.592632e-03
6.699999999999974e+00	6.692554e-03
6.799999999999974e+00	6.792476e-03
6.899999999999974e+00	6.892398e-03
6.999999999999973e+00	6.992320e-03
7.099999999999973e+00	7.092242e-03
7.199999999999973e+00	7.192164e-03
7.299999999999972e+00	7.292085e-03
7.399999999999972e+00	7.392006e-03
7.499999999999972e+00	7.491882e-03
7.599999999999971e+00	7.588975e-03
7.699999999999971e+00	7.653235e-03
7.799999999999971e+00	7.683706e-03
7.899999999999970e+00	7.703885e-03
7.999999999999970e+00	7.719841e-03
8.099999999999969e+00	7.733833e-03
8.199999999999969e+00	7.746371e-03
8.299999999999969e+00	7.758003e-03
8.399999999999968e+00	7.768976e-03
8.499999999999968e+00	7.779422e-03
8.599999999999968e+00	7.789442e-03
8.699999999999967e+00	7.799112e-03
8.799999999999967e+00	7.808495e-03
8.899999999999967e+00	7.817644e-03
8.999999999999966e+00	7.826604e-03
9.099999999999966e+00	7.835412e-03
9.199999999999966e+00	7.844104e-03
9.299999999999965e+00	7.852703e-03
9.399999999999965e+00	7.861234e-03
9.499999999999964e+00	7.869713e-03
9.599999999999964e+00	7.878154e-03
9.699999999999964e+00	7.886564e-03
9.799999999999963e+00	7.894955e-03
9.899999999999963e+00	7.903330e-03
1.000000000000000e+01	7.911693e-03
Step Information: R=2K
-1.000000000000000e+01	-4.781025e-03
-9.900000000000000e+00	-4.776677e-03
-9.800000000000001e+00	-4.772329e-03
-9.700000000000001e+00	-4.767980e-03
-9.600000000000001e+00	-4.763632e-03
-9.500000000000002e+00	-4.759284e-03
-9.400000000000002e+00	-4.754936e-03
-9.300000000000002e+00	-4.750588e-03
-9.200000000000003e+00	-4.746239e-03
-9.100000000000003e+00	-4.741891e-03
-9.000000000000004e+00	-4.737543e-03
-8.900000000000004e+00	-4.733195e-03
-8.800000000000004e+00	-4.728846e-03
-8.700000000000005e+00	-4.724498e-03
-8.600000000000005e+00	-4.720150e-03
-8.500000000000005e+00	-4.715801e-03
-8.400000000000006e+00	-4.711453e-03
-8.300000000000006e+00	-4.707105e-03
-8.200000000000006e+00	-4.702757e-03
-8.100000000000007e+00	-4.698408e-03
-8.000000000000007e+00	-4.694059e-03
-7.900000000000007e+00	-4.689711e-03
-7.800000000000008e+00	-4.685363e-03
-7.700000000000008e+00	-4.681014e-03
-7.600000000000009e+00	-4.676665e-03
-7.500000000000009e+00	-4.672316e-03
-7.400000000000009e+00	-4.667966e-03
-7.300000000000010e+00	-4.663616e-03
-7.200000000000010e+00	-4.659265e-03
-7.100000000000010e+00	-4.654913e-03
-7.000000000000011e+00	-4.650560e-03
-6.900000000000011e+00	-4.646204e-03
-6.800000000000011e+00	-4.641846e-03
-6.700000000000012e+00	-4.637484e-03
-6.600000000000012e+00	-4.633116e-03
-6.500000000000012e+00	-4.628741e-03
-6.400000000000013e+00	-4.624355e-03
-6.300000000000013e+00	-4.619954e-03
-6.200000000000014e+00	-4.615533e-03
-6.100000000000014e+00	-4.611085e-03
-6.000000000000014e+00	-4.606600e-03
-5.900000000000015e+00	-4.602067e-03
-5.800000000000015e+00	-4.597469e-03
-5.700000000000015e+00	-4.592788e-03
-5.600000000000016e+00	-4.588003e-03
-5.500000000000016e+00	-4.583087e-03
-5.400000000000016e+00	-4.578010e-03
-5.300000000000017e+00	-4.572735e-03
-5.200000000000017e+00	-4.567218e-03
-5.100000000000017e+00	-4.561394e-03
-5.000000000000018e+00	-4.555169e-03
-4.900000000000018e+00	-4.548387e-03
-4.800000000000018e+00	-4.540759e-03
-4.700000000000019e+00	-4.531650e-03
-4.600000000000019e+00	-4.518767e-03
-4.500000000000020e+00	-4.488299e-03
-4.400000000000020e+00	-4.395971e-03
-4.300000000000020e+00	-4.296116e-03
-4.200000000000021e+00	-4.196256e-03
-4.100000000000021e+00	-4.096397e-03
-4.000000000000021e+00	-3.996538e-03
-3.900000000000021e+00	-3.896680e-03
-3.800000000000021e+00	-3.796821e-03
