v2	V(vo1)	V(vo2)
4.399999999999983e+00	8.492117e+00	4.094199e-01
4.499999999999982e+00	8.494602e+00	6.727448e-01
4.599999999999982e+00	8.494742e+00	9.392017e-01
4.699999999999982e+00	8.494640e+00	1.205981e+00
4.799999999999981e+00	8.494636e+00	1.472632e+00
4.899999999999981e+00	8.494630e+00	1.739282e+00
4.999999999999980e+00	8.494625e+00	2.005933e+00
5.099999999999980e+00	8.494620e+00	2.272584e+00
5.199999999999980e+00	8.494615e+00	2.539234e+00
5.299999999999979e+00	8.494610e+00	2.805885e+00
5.399999999999979e+00	8.494605e+00	3.072536e+00
5.499999999999979e+00	8.494599e+00	3.339186e+00
5.599999999999978e+00	8.494595e+00	3.605837e+00
5.699999999999978e+00	8.494590e+00	3.872487e+00
5.799999999999978e+00	8.494584e+00	4.139138e+00
5.899999999999977e+00	8.494579e+00	4.405788e+00
5.999999999999977e+00	8.494575e+00	4.672439e+00
6.099999999999977e+00	8.494569e+00	4.939089e+00
6.199999999999976e+00	8.494564e+00	5.205740e+00
6.299999999999976e+00	8.494559e+00	5.472390e+00
6.399999999999975e+00	8.494554e+00	5.739041e+00
6.499999999999975e+00	8.494549e+00	6.005691e+00
6.599999999999975e+00	8.494544e+00	6.272342e+00
6.699999999999974e+00	8.494538e+00	6.538992e+00
6.799999999999974e+00	8.494534e+00	6.805643e+00
6.899999999999974e+00	8.494529e+00	7.072293e+00
6.999999999999973e+00	8.494523e+00	7.338943e+00
7.099999999999973e+00	8.494518e+00	7.605594e+00
7.199999999999973e+00	8.494514e+00	7.872244e+00
7.299999999999972e+00	8.494508e+00	8.138894e+00
7.399999999999972e+00	8.494503e+00	8.400076e+00
7.499999999999972e+00	8.494501e+00	8.486613e+00
7.599999999999971e+00	8.494501e+00	8.494115e+00
7.699999999999971e+00	8.494501e+00	8.494188e+00
7.799999999999971e+00	8.494501e+00	8.494175e+00
7.899999999999970e+00	8.494501e+00	8.494175e+00
7.999999999999970e+00	8.494501e+00	8.494175e+00
8.099999999999969e+00	8.494501e+00	8.494175e+00
8.199999999999969e+00	8.494501e+00	8.494175e+00
8.299999999999969e+00	8.494501e+00	8.494175e+00
8.399999999999968e+00	8.494501e+00	8.494175e+00
8.499999999999968e+00	8.494501e+00	8.494175e+00
8.599999999999968e+00	8.494501e+00	8.494175e+00
8.699999999999967e+00	8.494501e+00	8.494175e+00
8.799999999999967e+00	8.494501e+00	8.494175e+00
8.899999999999967e+00	8.494501e+00	8.494175e+00
8.999999999999966e+00	8.494501e+00	8.494175e+00
