vin	V(vo1)	V(vo2)
-7.950000000000044e+00	-9.996190e+00	-5.001524e+00
-7.940000000000044e+00	-9.996189e+00	-4.971764e+00
-7.930000000000044e+00	-9.996188e+00	-4.942003e+00
-7.920000000000044e+00	-9.996187e+00	-4.912241e+00
-7.910000000000045e+00	-9.996186e+00	-4.882480e+00
-7.900000000000045e+00	-9.996184e+00	-4.852717e+00
-7.890000000000045e+00	-9.996183e+00	-4.822954e+00
-7.880000000000045e+00	-9.996182e+00	-4.793190e+00
-7.870000000000045e+00	-9.996181e+00	-4.763425e+00
-7.860000000000046e+00	-9.996181e+00	-4.733661e+00
-7.850000000000046e+00	-9.996180e+00	-4.703895e+00
-7.840000000000046e+00	-9.996179e+00	-4.674129e+00
-7.830000000000046e+00	-9.996177e+00	-4.644362e+00
-7.820000000000046e+00	-9.996176e+00	-4.614595e+00
-7.810000000000047e+00	-9.996175e+00	-4.584827e+00
-7.800000000000047e+00	-9.996174e+00	-4.555059e+00
-7.790000000000047e+00	-9.996173e+00	-4.525290e+00
-7.780000000000047e+00	-9.996172e+00	-4.495521e+00
-7.770000000000048e+00	-9.996171e+00	-4.465751e+00
-7.760000000000048e+00	-9.996170e+00	-4.435980e+00
-7.750000000000048e+00	-9.996168e+00	-4.406209e+00
-7.740000000000048e+00	-9.996167e+00	-4.376438e+00
-7.730000000000048e+00	-9.996166e+00	-4.346666e+00
-7.720000000000049e+00	-9.996165e+00	-4.316893e+00
-7.710000000000049e+00	-9.996164e+00	-4.287120e+00
-7.700000000000049e+00	-9.996163e+00	-4.257347e+00
-7.690000000000049e+00	-9.996162e+00	-4.227572e+00
-7.680000000000049e+00	-9.996161e+00	-4.197798e+00
-7.670000000000050e+00	-9.996160e+00	-4.168023e+00
-7.660000000000050e+00	-9.996159e+00	-4.138247e+00
-7.650000000000050e+00	-9.996158e+00	-4.108470e+00
-7.640000000000050e+00	-9.996157e+00	-4.078694e+00
-7.630000000000051e+00	-9.996156e+00	-4.048916e+00
-7.620000000000051e+00	-9.996155e+00	-4.019139e+00
-7.610000000000051e+00	-9.996154e+00	-3.989360e+00
-7.600000000000051e+00	-9.996152e+00	-3.959582e+00
-7.590000000000051e+00	-9.996151e+00	-3.929802e+00
-7.580000000000052e+00	-9.996150e+00	-3.900023e+00
-7.570000000000052e+00	-9.996149e+00	-3.870242e+00
-7.560000000000052e+00	-9.996148e+00	-3.840462e+00
-7.550000000000052e+00	-9.996147e+00	-3.810680e+00
-7.540000000000052e+00	-9.996146e+00	-3.780899e+00
-7.530000000000053e+00	-9.996145e+00	-3.751117e+00
-7.520000000000053e+00	-9.996143e+00	-3.721334e+00
-7.510000000000053e+00	-9.996142e+00	-3.691550e+00
-7.500000000000053e+00	-9.996141e+00	-3.661767e+00
-7.490000000000054e+00	-9.996140e+00	-3.631983e+00
-7.480000000000054e+00	-9.996140e+00	-3.602198e+00
-7.470000000000054e+00	-9.996139e+00	-3.572413e+00
-7.460000000000054e+00	-9.996138e+00	-3.542628e+00
-7.450000000000054e+00	-9.996136e+00	-3.512841e+00
-7.440000000000055e+00	-9.996135e+00	-3.483055e+00
-7.430000000000055e+00	-9.996134e+00	-3.453268e+00
-7.420000000000055e+00	-9.996133e+00	-3.423481e+00
-7.410000000000055e+00	-9.996132e+00	-3.393693e+00
-7.400000000000055e+00	-9.996131e+00	-3.363904e+00
-7.390000000000056e+00	-9.996130e+00	-3.334116e+00
-7.380000000000056e+00	-9.996129e+00	-3.304327e+00
-7.370000000000056e+00	-9.996127e+00	-3.274537e+00
-7.360000000000056e+00	-9.996126e+00	-3.244747e+00
-7.350000000000056e+00	-9.996125e+00	-3.214956e+00
-7.340000000000057e+00	-9.996124e+00	-3.185165e+00
-7.330000000000057e+00	-9.996123e+00	-3.155374e+00
-7.320000000000057e+00	-9.996122e+00	-3.125582e+00
-7.310000000000057e+00	-9.996121e+00	-3.095789e+00
-7.300000000000058e+00	-9.996119e+00	-3.065997e+00
-7.290000000000058e+00	-9.996119e+00	-3.036203e+00
